gene	celltype	trend_class	score	RNA_mean	RNA_rho	CaH_RNA	CaB_RNA	CaT_RNA	H3K27ac_mean	H3K27ac_rho	CaH_K27ac	CaB_K27ac	CaT_K27ac	H3K27me3_mean	H3K27me3_rho	CaH_K27me3	CaB_K27me3	CaT_K27me3	H3K9me3_mean	H3K9me3_rho	CaH_K9me3	CaB_K9me3	CaT_K9me3
LINC01151	STR D1 MSN	DOWN	3.730058849764095	0.02109585702419281	0.497696880689805	0.04828939959406853	0.012412603944540024	0.002585562877357006	3.291670509497635e-05	0.32415210380259507	4.0886676288209856e-05	2.8127133191446774e-05	9.156872692983598e-06	2.0484971173573285e-05	0.789520422292079	1.0165954336116556e-05	2.6497358703636564e-05	5.369458449422382e-05	2.02918890863657e-05	0.7391659791494789	1.2956537830177695e-05	2.5840912712737918e-05	4.5354270696407184e-05
SPATS2L	STR D1 MSN	DOWN	3.384929588924914	0.11132444441318512	0.1749472317500666	0.18610820174217224	0.13807573914527893	0.00978948175907135	4.0418315620627254e-05	-0.7918442961074028	4.9685051635606214e-05	3.5089200537186116e-05	1.1413304491725285e-05	3.071946412092075e-05	0.6334163354083853	2.6519053790252656e-05	3.188785194652155e-05	4.804412310477346e-05	2.864960697479546e-05	0.4610005250131254	2.529298944864422e-05	2.9795757654937916e-05	4.6570243284804747e-05
PKP2	STR D1 MSN	DOWN	3.375142019484481	0.0456463061273098	0.3665140305610544	0.08800813555717468	0.03850686550140381	0.01042394433170557	0.00010774202382890508	-0.8561299032475814	0.0001236419630004093	0.00010135619231732562	4.210594488540664e-05	1.7038180885720067e-05	0.7814643912150412	1.2641058674489614e-05	1.6277657778118737e-05	4.1077790228882805e-05	1.4781727259105537e-05	0.63117106316391	1.2208359294163529e-05	1.403001897415379e-05	3.607251346693374e-05
PCED1B	STR D1 MSN	DOWN	3.3307569513042887	0.05356338247656822	0.4425593056621208	0.10987044870853424	0.041254203766584396	0.00956554152071476	3.8443704397650436e-05	-0.6091277281932049	4.2493622459005564e-05	3.8173671782715246e-05	1.3920579476689454e-05	2.1975673007545993e-05	0.39218330458261463	1.7449299775762483e-05	2.684924220375251e-05	2.9887229175074026e-05	1.747028909449e-05	0.6833518353204145	1.4297169400379062e-05	1.8299375369679183e-05	3.558968455763534e-05
CDH10	STR D1 MSN	DOWN	3.2344401202090682	0.12347228080034256	0.2704726768810676	0.2067026048898697	0.1395346075296402	0.024179592728614807	6.775598012609407e-05	-0.7505617640441012	7.92034697951749e-05	6.383914296748117e-05	1.6583195247221738e-05	4.044423985760659e-05	0.43872046801170034	3.2887153793126345e-05	4.794070264324546e-05	5.555861207540147e-05	6.7820685217157e-05	-0.5720798019950499	6.71475863782689e-05	6.873117672512308e-05	6.826168828411028e-05
BACH2	STR D1 MSN	DOWN	3.1518346373330477	0.23385341465473175	0.33147276427309774	0.34832385182380676	0.27253296971321106	0.08070307224988937	4.694826202467084e-05	-0.6849366234155855	5.854497794643976e-05	3.999144246336073e-05	1.2306409189477563e-05	2.9392105716397054e-05	0.3912982824570615	2.106171268678736e-05	3.6817247746512294e-05	4.854879807680845e-05	2.5132087102974765e-05	0.6976584414610366	2.0308343664510176e-05	3.0181136025930755e-05	3.512877810862847e-05
LINC00903	STR D1 MSN	DOWN	2.9817476617858145	0.04229944571852684	0.46866050021678163	0.061103034764528275	0.05227053165435791	0.013524775393307209	1.3462121387419757e-05	0.41852443395110184	1.622661693545524e-05	1.1109957995358855e-05	9.195628081215546e-06	1.9444482859398704e-06	0.8204883678672881	9.595805749995634e-07	2.4766427486611065e-06	5.2379732551344205e-06	5.069566668680636e-06	0.5503630201736678	3.7735126170446165e-06	5.67648203286808e-06	1.122779940487817e-05
NREP	STR D1 MSN	DOWN	2.965495004236008	0.09843381494283676	0.37538301455675216	0.1528359204530716	0.09652192890644073	0.04594357684254646	2.8151096557849087e-05	0.07474986874671868	3.494085467536934e-05	2.4308810679940507e-05	6.540247341035865e-06	3.340693365316838e-05	0.7782839570989276	2.5174209440592676e-05	4.071210787515156e-05	5.243682971922681e-05	4.974399780621752e-05	0.4169669241731044	4.407880987855606e-05	5.556302858167328e-05	6.199771451065317e-05
NPAS4	STR D1 MSN	DOWN	2.9494946515219005	0.05947352573275566	0.5588180614872308	0.10369502007961273	0.07345736026763916	0.0012681750813499093	9.161210618913174e-05	-0.4969819245481138	9.790875628823414e-05	8.9577617472969e-05	6.277415377553552e-05	5.087105819256976e-06	0.4057605827565205	4.789686954609351e-06	4.569297743728384e-06	8.101143976091407e-06	4.879730113316327e-06	0.6777252076398821	6.119748832134064e-06	1.78096843228559e-06	1.065101423591841e-05
LINGO2	STR D1 MSN	DOWN	2.949409844522137	1.2473430633544922	-0.19814376606728099	1.6644506454467773	1.2402929067611694	0.8372877240180969	7.254794581967872e-06	0.49292852759326283	8.39509903016733e-06	7.169928267103387e-06	4.00802264266531e-07	1.1718507266778033e-05	0.550880221498727	6.7466321524989326e-06	1.5203382645267993e-05	2.5969538910430856e-05	1.5011012692411896e-05	0.7126461797600788	1.30544194689719e-05	1.4256348549679387e-05	3.204708991688676e-05
THBS1	STR D1 MSN	DOWN	2.796624610637955	0.02776428684592247	0.516223968779472	0.040155116468667984	0.033757176250219345	0.009380556643009186	4.116844866075553e-05	-0.25376134403360084	4.830778198083863e-05	3.634942549979314e-05	2.292623685207218e-05	1.1584834282984957e-05	0.6543313582839573	8.977041943580844e-06	1.4548297258443199e-05	1.5679792340961285e-05	9.516696081846021e-06	0.6284629936678299	9.145510375674348e-06	7.901025128376205e-06	1.9568929928936996e-05
TRPC7	STR D1 MSN	DOWN	2.786878198469332	0.020735982805490494	0.39551195446478277	0.03807968646287918	0.015189053490757942	0.008939210325479507	2.2029618776286952e-05	0.43018340751255174	3.107942393398844e-05	1.3580279301095288e-05	1.2374095604172908e-05	6.0961749113630503e-05	0.5680402010050252	5.22511763847433e-05	7.076528709148988e-05	7.492193981306627e-05	4.169195017311722e-05	0.7006690167254181	3.5677127016242594e-05	4.642328713089228e-05	6.140303594293073e-05
PRKG1	STR D1 MSN	DOWN	2.763612927125338	0.7336096167564392	-0.30693215733957807	1.2533717155456543	0.7887628674507141	0.1586947739124298	1.2799374417227227e-05	-0.04677887997743299	1.4132997421256732e-05	1.2081915883754846e-05	8.34036836749874e-06	4.614288263837807e-05	-0.19620490512262806	4.403765342431143e-05	5.0162230763817206e-05	4.460586569621228e-05	2.431314169371035e-05	0.630444761119028	1.9536353647708893e-05	2.850983219104819e-05	3.793268479057588e-05
GALNTL6	STR D1 MSN	DOWN	2.7293617862561854	1.2863047122955322	-0.24814908147851358	1.7817504405975342	1.2536113262176514	0.8235536813735962	6.925253546796739e-05	-0.9289942248556216	7.917439506854862e-05	6.680282240267843e-05	1.946214251802303e-05	7.009816272329772e-06	0.6269013356402994	5.073787633591564e-06	7.850794645491987e-06	1.4094871403358411e-05	1.0302886948920786e-05	0.4992467894408252	8.632478056824766e-06	1.1753908438549843e-05	1.5142102711251937e-05
PYDC2-AS1	STR D1 MSN	DOWN	2.724983277018805	0.23689228296279907	-0.2338143733702849	0.3476601839065552	0.2687016427516937	0.09431491047143936	3.304035635665059e-05	-0.09947348683717093	3.678225039038807e-05	3.18530437652953e-05	1.5778354281792417e-05	2.0177181795588695e-05	0.7592214805370137	1.6299798517138697e-05	2.253105049021542e-05	3.237385317333974e-05	1.8611675841384567e-05	0.7134973374334359	1.734662873786874e-05	1.733725002850406e-05	3.3269527193624526e-05
TUSC7	STR D1 MSN	DOWN	2.701244143744109	0.05502067878842354	0.43000998731748785	0.07962986081838608	0.06621971726417542	0.019212478771805763	6.981547358009266e-06	0.5923546229208744	7.361406005657045e-06	6.797205060138367e-06	5.5963291742955334e-06	3.0550816063623643e-06	0.7486148748773708	2.1374730749812443e-06	2.2398705823434284e-06	1.0025657502410468e-05	4.1237994992116e-06	0.7348829291379141	3.7304864690668182e-06	2.8063707304681884e-06	1.2947787581651937e-05
