gene	celltype	trend_class	score	RNA_mean	RNA_rho	NAC_RNA	Pu_RNA	CaB_RNA	H3K27ac_mean	H3K27ac_rho	NAC_K27ac	Pu_K27ac	CaB_K27ac	H3K27me3_mean	H3K27me3_rho	NAC_K27me3	Pu_K27me3	CaB_K27me3	H3K9me3_mean	H3K9me3_rho	NAC_K9me3	Pu_K9me3	CaB_K9me3
DGKK	STR D2 MSN	DOWN	3.711071171264642	0.03280835226178169	-0.34859675464184164	0.09443153440952301	0.0031534088775515556	0.000840178516227752	1.533224349259399e-05	-0.6773395856475106	4.1282237361883745e-05	8.236765097535681e-06	3.4503138977015624e-06	4.854177313973196e-05	0.7878736968424211	2.215801941929385e-05	5.417092324933037e-05	4.9013040552381426e-05	0.0	0.0	0.0	0.0	0.0
CREG2	STR D2 MSN	DOWN	3.6333689504146647	0.040401484817266464	-0.20347923123906464	0.11164442449808121	0.006856679450720549	0.002703276462852955	2.596934609755408e-05	-0.7163714092852322	5.466985021485016e-05	1.904248165374156e-05	1.1713068488461431e-05	4.4526321289595217e-05	0.5641491037275933	1.9253830032539554e-05	4.922143853036687e-05	4.611598706105724e-05	1.9679977413034067e-05	0.6911021466848447	8.083948159764986e-06	2.8516913516796194e-05	2.2439067834056914e-05
PLOD2	STR D2 MSN	DOWN	3.5005467081580557	0.03021261841058731	-0.3213535640249692	0.08318224549293518	0.004840525332838297	0.0026151156052947044	1.6442501873825677e-05	-0.6615097066025954	3.898944487445988e-05	8.682463885634206e-06	8.050366886891425e-06	8.306508243549615e-05	0.6683192079801996	6.550536636495963e-05	9.0716355771292e-05	7.699968409724534e-05	5.882556433789432e-05	0.6068056701417536	3.710678720381111e-05	6.647725240327418e-05	7.289260247489437e-05
GABRG1	STR D2 MSN	DOWN	3.481826358534412	0.02408929169178009	-0.26325355451481	0.06170654296875	0.005940941162407398	0.004620400257408619	8.264436473837122e-06	-0.749384249713143	1.9008908566320315e-05	4.929083388560684e-06	3.826161901088199e-06	5.3067935368744656e-05	0.5839795994899873	3.0090299333096482e-05	5.6782911997288465e-05	5.5418218835256994e-05	3.14169519697316e-05	0.7886980618318085	1.7197457054862753e-05	3.891020969604142e-05	3.814318188233301e-05
PAWR	STR D2 MSN	DOWN	3.420749652771598	0.06583009660243988	-0.20770578466395384	0.15530037879943848	0.026439648121595383	0.015750311315059662	2.019161547650583e-05	-0.5960948759075182	4.024666122859344e-05	1.3443531315715518e-05	1.2540114767034538e-05	5.24552924616728e-05	0.8554503862596565	2.891338044719305e-05	5.570914800046012e-05	5.5765565775800496e-05	2.8389635190251283e-05	0.6361161908803958	1.2679240171564743e-05	3.094383646384813e-05	4.154579801252112e-05
MOXD1	STR D2 MSN	DOWN	3.3779927368454903	0.02051927149295807	-0.4113945856839775	0.056673917919397354	0.003254164010286331	0.0016297505935654044	1.291820990445558e-05	-0.8665751409451796	3.422111694817431e-05	5.377104571380187e-06	5.242483894107863e-06	3.613891749409959e-05	0.43946448661216536	2.7270076316199265e-05	4.044596425956115e-05	3.235246549593285e-05	2.427593426546082e-05	0.6324745554408407	1.8333232219447382e-05	2.9376900783972815e-05	2.5117691620835103e-05
PALMD	STR D2 MSN	DOWN	3.3733223872066502	0.03790256381034851	-0.26445855533957985	0.10731284320354462	0.003496971447020769	0.0028979138005524874	3.983915667049587e-05	-0.7228425710642767	7.73667125031352e-05	2.867674811568577e-05	2.3747659724904224e-05	6.059994120732881e-05	0.1051121278031951	3.2782540074549615e-05	6.349770410452038e-05	6.6058557422366e-05	4.133475886192173e-05	0.6902257146803477	2.159228824893944e-05	5.8047047787113115e-05	4.436491508386098e-05
GRIA4	STR D2 MSN	DOWN	3.3558623267326233	0.31720757484436035	0.33797869434783223	0.7962048053741455	0.10824498534202576	0.04717222601175308	2.953086186607834e-05	-0.48155946957157425	5.4131101933307946e-05	2.640745515236631e-05	1.3903757462685462e-05	2.5602745154174045e-05	-0.036149403735093386	1.3728099474974442e-05	2.6795018129632808e-05	2.800591755658388e-05	1.3190420759201515e-05	0.7942617816535403	8.03444618213689e-06	1.592741500644479e-05	1.560939745104406e-05
SMCO4	STR D2 MSN	DOWN	3.339263205936393	0.0451790988445282	-0.27698735235393596	0.11521567404270172	0.01155279390513897	0.008768841624259949	9.634505659050774e-06	-0.8127507485504277	2.7164831408299506e-05	3.4069873890985036e-06	3.3446040106355213e-06	4.590170647134073e-05	0.5012225305632642	3.9558031858177856e-05	4.950890433974564e-05	4.233323852531612e-05	5.035192589275539e-05	-0.07158028950723769	3.7012676330050454e-05	5.714558938052505e-05	5.689743557013571e-05
PLCXD3	STR D2 MSN	DOWN	3.046118652631028	0.066496342420578	-0.3134948481814178	0.16221264004707336	0.0215902179479599	0.015686199069023132	2.1791407561977394e-05	-0.6157894579502471	4.0710587200010195e-05	1.5425697711179964e-05	1.4573030057363212e-05	4.52753301942721e-05	0.6715442886072152	3.33418465743307e-05	4.7430839913431555e-05	4.612657357938588e-05	2.6251174858771265e-05	0.6731298282457062	1.976928615476936e-05	2.94025430775946e-05	2.9581680792034604e-05
L3MBTL4	STR D2 MSN	DOWN	3.0096904050203848	0.4461573362350464	0.29971738195310077	0.7832291722297668	0.285104900598526	0.27013781666755676	7.489004929084331e-06	-0.7574340429905738	1.7647729691816494e-05	4.682734470407013e-06	2.872161076084012e-06	3.947436198359355e-05	-0.19017325433135832	2.410009255982004e-05	3.8219492125790566e-05	4.7157493099803105e-05	6.810030754422769e-05	-0.13752845394401794	2.8921018383698538e-05	9.116256842389703e-05	8.421723759965971e-05
GNG2	STR D2 MSN	DOWN	2.9513692329995562	0.03452420234680176	-0.35010249402648225	0.09283997863531113	0.006197662558406591	0.004534947220236063	1.2516912647697609e-05	-0.6959674420695219	2.008557930821553e-05	1.0126672350452282e-05	9.439802852284629e-06	0.0001166485162684694	0.8253986349658743	9.162672358797863e-05	0.00012794439680874348	0.000107363703136798	9.053233952727169e-05	0.4933488337208431	7.332428504014388e-05	9.893556853057817e-05	9.933696128427982e-05
GABRA3	STR D2 MSN	DOWN	2.9476456169157372	0.06406910717487335	-0.23054765905704488	0.15388840436935425	0.02124658040702343	0.017072271555662155	1.3233270692580845e-05	-0.5769766463919543	2.226315154985059e-05	1.0554812433838379e-05	9.35229763854295e-06	1.5318197256419808e-05	-0.4604584341327985	1.0163117622141726e-05	1.5114277630345896e-05	1.754012737364974e-05	0.0	0.0	0.0	0.0	0.0
